Filename,Diagnosis,Confidence,Stroma_Density,Infiltration_Score,Phenotype
lungscc2717.jpeg,LUNG_SCC,0.9998,0.1887,0.0000,DESERT/INTERMEDIATE
lungscc1992.jpeg,LUNG_SCC,0.9984,0.0866,0.0000,DESERT/INTERMEDIATE
lungscc2347.jpeg,LUNG_SCC,0.9996,0.0418,0.0222,DESERT/INTERMEDIATE
lungscc4339.jpeg,LUNG_SCC,0.9998,0.1176,0.0000,DESERT/INTERMEDIATE
lungscc3106.jpeg,LUNG_SCC,0.9975,0.0840,0.0042,DESERT/INTERMEDIATE
lungscc1091.jpeg,LUNG_SCC,1.0000,0.0121,0.0069,DESERT/INTERMEDIATE
lungscc4769.jpeg,LUNG_SCC,0.9869,0.1076,0.0000,DESERT/INTERMEDIATE
lungscc4293.jpeg,LUNG_SCC,1.0000,0.0842,0.0000,DESERT/INTERMEDIATE
lungscc3556.jpeg,LUNG_SCC,0.9088,0.1237,0.0017,DESERT/INTERMEDIATE
lungscc781.jpeg,LUNG_ACA,0.9488,0.6282,0.0000,EXCLUDED
lungscc3278.jpeg,LUNG_SCC,0.9938,0.0905,0.0278,DESERT/INTERMEDIATE
lungscc1245.jpeg,LUNG_SCC,0.9562,0.4412,0.0152,DESERT/INTERMEDIATE
lungscc555.jpeg,LUNG_SCC,0.9978,0.1048,0.0062,DESERT/INTERMEDIATE
lungscc3782.jpeg,LUNG_SCC,0.9818,0.1460,0.0120,DESERT/INTERMEDIATE
lungscc4047.jpeg,LUNG_SCC,0.9196,0.2411,0.0058,DESERT/INTERMEDIATE
lungscc2890.jpeg,LUNG_SCC,0.9999,0.3141,0.0000,DESERT/INTERMEDIATE
lungscc3628.jpeg,LUNG_SCC,1.0000,0.1341,0.0000,DESERT/INTERMEDIATE
lungscc1615.jpeg,LUNG_SCC,0.6788,0.2532,0.0072,DESERT/INTERMEDIATE
lungscc105.jpeg,LUNG_SCC,1.0000,0.1446,0.0000,DESERT/INTERMEDIATE
lungscc4417.jpeg,LUNG_SCC,0.9594,0.0165,0.0016,DESERT/INTERMEDIATE
lungscc2469.jpeg,LUNG_SCC,0.9962,0.0054,0.0000,DESERT/INTERMEDIATE
lungscc2193.jpeg,LUNG_SCC,0.7277,0.2343,0.0009,DESERT/INTERMEDIATE
lungscc4944.jpeg,LUNG_SCC,0.9753,0.1312,0.0000,DESERT/INTERMEDIATE
lungscc2039.jpeg,LUNG_SCC,0.7580,0.5093,0.0000,EXCLUDED
lungscc806.jpeg,LUNG_SCC,0.9803,0.0043,0.0000,DESERT/INTERMEDIATE
lungscc4801.jpeg,LUNG_SCC,0.9982,0.2670,0.0742,DESERT/INTERMEDIATE
lungscc943.jpeg,LUNG_SCC,0.9999,0.0925,0.0000,DESERT/INTERMEDIATE
lungscc2486.jpeg,LUNG_SCC,0.9996,0.1204,0.0088,DESERT/INTERMEDIATE
lungscc4102.jpeg,LUNG_SCC,1.0000,0.1825,0.0006,DESERT/INTERMEDIATE
lungscc410.jpeg,LUNG_SCC,1.0000,0.1418,0.0000,DESERT/INTERMEDIATE
lungscc1300.jpeg,LUNG_SCC,0.8316,0.5028,0.0000,EXCLUDED
lungscc4552.jpeg,LUNG_SCC,0.9999,0.0963,0.0029,DESERT/INTERMEDIATE
lungscc3297.jpeg,LUNG_SCC,0.9996,0.1371,0.0084,DESERT/INTERMEDIATE
lungscc1750.jpeg,LUNG_SCC,0.9131,0.5609,0.0000,EXCLUDED
lungscc1880.jpeg,LUNG_SCC,0.9999,0.0735,0.0077,DESERT/INTERMEDIATE
lungscc2255.jpeg,LUNG_SCC,1.0000,0.1035,0.0074,DESERT/INTERMEDIATE
lungscc3917.jpeg,LUNG_SCC,1.0000,0.0128,0.0000,DESERT/INTERMEDIATE
lungscc2605.jpeg,LUNG_SCC,0.9996,0.1383,0.0000,DESERT/INTERMEDIATE
lungscc1183.jpeg,LUNG_SCC,0.9238,0.0747,0.0000,DESERT/INTERMEDIATE
lungscc369.jpeg,LUNG_SCC,1.0000,0.1881,0.0000,DESERT/INTERMEDIATE
lungscc4381.jpeg,LUNG_SCC,0.5733,0.1635,0.0000,DESERT/INTERMEDIATE
lungscc1479.jpeg,LUNG_SCC,0.9750,0.2437,0.0079,DESERT/INTERMEDIATE
lungscc3444.jpeg,LUNG_SCC,0.7943,0.0390,0.0307,DESERT/INTERMEDIATE
lungscc693.jpeg,LUNG_SCC,1.0000,0.1809,0.0000,DESERT/INTERMEDIATE
lungscc739.jpeg,LUNG_SCC,1.0000,0.0873,0.0000,DESERT/INTERMEDIATE
lungscc1029.jpeg,LUNG_SCC,1.0000,0.1189,0.0000,DESERT/INTERMEDIATE
lungscc3014.jpeg,LUNG_SCC,1.0000,0.0360,0.0041,DESERT/INTERMEDIATE
lungscc3501.jpeg,LUNG_SCC,1.0000,0.1408,0.0000,DESERT/INTERMEDIATE
lungscc386.jpeg,LUNG_SCC,1.0000,0.1140,0.0000,DESERT/INTERMEDIATE
lungscc3151.jpeg,LUNG_SCC,0.9996,0.1837,0.1248,DESERT/INTERMEDIATE
lungscc4694.jpeg,LUNG_SCC,0.9915,0.3996,0.0000,DESERT/INTERMEDIATE
lungscc1496.jpeg,LUNG_SCC,0.9709,0.1241,0.0017,DESERT/INTERMEDIATE
lungscc2310.jpeg,LUNG_SCC,0.9989,0.0555,0.0000,DESERT/INTERMEDIATE
lungscc3852.jpeg,LUNG_SCC,0.9795,0.6691,0.0000,EXCLUDED
lungscc2740.jpeg,LUNG_SCC,0.9988,0.2520,0.0273,DESERT/INTERMEDIATE
lungscc810.jpeg,LUNG_SCC,0.9631,0.0286,0.0000,DESERT/INTERMEDIATE
lungscc4952.jpeg,LUNG_SCC,0.9947,0.0483,0.0037,DESERT/INTERMEDIATE
lungscc2185.jpeg,LUNG_SCC,0.9853,0.3532,0.0033,DESERT/INTERMEDIATE
lungscc113.jpeg,LUNG_SCC,0.9984,0.1106,0.0093,DESERT/INTERMEDIATE
lungscc4401.jpeg,LUNG_SCC,0.8198,0.1359,0.0211,DESERT/INTERMEDIATE
lungscc1603.jpeg,LUNG_SCC,0.9923,0.1029,0.0000,DESERT/INTERMEDIATE
lungscc2886.jpeg,LUNG_SCC,0.9423,0.0357,0.0000,DESERT/INTERMEDIATE
lungscc543.jpeg,LUNG_SCC,1.0000,0.0229,0.0018,DESERT/INTERMEDIATE
lungscc3794.jpeg,LUNG_SCC,1.0000,0.0775,0.0000,DESERT/INTERMEDIATE
lungscc4051.jpeg,LUNG_SCC,1.0000,0.0327,0.0000,DESERT/INTERMEDIATE
lungscc1253.jpeg,LUNG_SCC,0.9990,0.0590,0.0000,DESERT/INTERMEDIATE
lungscc2869.jpeg,LUNG_SCC,1.0000,0.0169,0.0000,DESERT/INTERMEDIATE
lungscc1746.jpeg,LUNG_SCC,0.9999,0.0047,0.0000,DESERT/INTERMEDIATE
lungscc4544.jpeg,LUNG_ACA,0.6948,0.3606,0.0000,DESERT/INTERMEDIATE
